throughput,findClus,RawToDigi_kernel,kernelLineFit3,kernelLineFit4,kernel_connect,getHits,kernel_find_ntuplets,fishbone,clusterChargeCut,calibDigis,countModules,kernelFastFit3,kernelFastFit4,kernelFastFit5,kernelLineFit5,kernel_fillHitDetIndices,kernel_mark_used,finalizeBulk,kernel_earlyDuplicateRemover,kernel_countMultiplicity,kernel_fillMultiplicity,kernel_checkOverflows,initDoublets,kernel_classifyTracks,kernel_fishboneCleaner,kernel_fastDuplicateRemover,kernel_countHitInTracks,kernel_fillHitInTracks,kernel_tripletCleaner,kernel_doStatsForHitInTracks,kernel_doStatsForTracks
1108.12,256,224,128,32,64,192,256,256,192,32,96,96,160,256,64,32,224,160,32,224,64,160,64,224,32,32,256,160,256,224,224
1130.49,256,96,192,32,192,192,128,96,224,224,64,64,160,160,192,256,128,224,32,128,96,64,32,256,96,128,160,192,224,160,32
1196.43,64,224,96,64,128,128,224,96,64,192,96,192,224,192,32,128,224,64,192,256,32,256,256,64,256,96,160,32,256,96,32
1185.22,160,32,64,192,128,32,192,64,224,224,256,64,32,256,192,96,224,64,192,224,96,128,128,160,224,160,64,64,96,128,224
1125.51,128,32,224,96,128,224,192,32,256,96,128,192,64,128,256,256,192,224,256,64,32,96,256,96,192,192,64,192,256,32,96
1166.41,96,32,128,128,128,256,96,64,192,96,192,224,32,32,160,32,64,160,64,256,160,32,64,96,160,192,256,224,64,256,64
1150.84,192,128,128,128,256,32,224,160,256,192,160,128,96,96,160,128,192,96,32,256,64,32,192,64,96,192,96,64,256,96,64
1167.26,192,256,192,224,256,128,128,128,256,64,128,64,224,256,160,96,224,128,128,96,192,256,64,96,224,224,160,32,32,96,96
1187.03,160,64,64,224,64,256,64,96,64,160,64,128,64,96,96,32,256,96,128,256,128,256,64,224,32,128,128,128,96,96,160
1177.6,128,32,96,32,64,256,32,64,128,64,64,64,224,256,160,32,32,128,160,32,160,128,192,96,256,128,256,256,32,32,32
1144.54,64,64,192,128,128,160,192,32,256,32,192,128,64,192,128,160,96,96,192,160,256,192,224,96,96,160,96,32,256,64,96
1181.34,192,256,128,256,64,64,128,160,256,160,160,224,160,224,160,192,96,128,160,256,64,96,224,192,160,256,128,192,160,128,64
1160.62,256,224,64,128,256,32,64,160,224,160,96,160,128,32,192,32,64,96,256,32,64,256,224,256,64,64,224,32,128,224,32
1158.82,192,128,256,192,256,224,96,160,128,224,96,32,96,128,256,128,160,128,96,256,192,128,192,256,32,160,256,160,32,160,224
1188.45,256,256,96,192,128,128,32,128,128,160,224,64,256,192,128,32,96,32,192,256,32,96,32,96,128,224,64,128,192,256,192
1212.72,64,192,32,32,256,32,160,128,64,160,64,224,96,32,128,128,96,96,96,192,128,64,256,160,96,192,256,256,160,160,96
1181.94,64,224,128,64,128,192,96,256,192,64,128,128,256,96,224,256,128,96,32,64,128,192,32,224,64,224,256,256,192,128,192
1180.59,256,96,192,128,128,160,96,128,64,32,224,256,160,128,64,192,256,96,224,192,256,64,96,224,32,224,224,192,64,32,64
1169.6,224,160,224,96,64,64,256,224,64,64,224,64,256,64,96,64,64,160,96,160,192,224,160,32,128,128,64,128,64,128,32
1154.52,256,96,64,224,128,192,224,192,128,192,160,64,128,192,160,160,224,160,64,160,96,192,224,256,160,96,256,192,192,128,96
1140.5,256,160,192,128,128,192,160,256,192,64,256,32,64,128,224,192,256,224,224,256,128,96,64,64,224,64,32,256,192,32,160
1150.62,192,256,224,32,192,192,224,192,160,160,192,192,128,192,224,32,256,64,128,160,128,256,256,128,256,224,64,192,160,192,160
1149.78,256,224,128,224,256,32,224,160,32,192,224,256,32,192,192,64,256,96,32,160,128,32,256,256,224,224,32,64,160,256,192
1202.33,160,192,32,128,128,192,64,256,160,160,160,224,256,128,256,64,256,128,224,64,256,64,192,256,192,160,256,64,192,160,160
1214.34,160,128,256,192,64,32,64,224,64,192,64,224,32,128,224,64,96,256,128,32,160,32,128,224,224,224,192,128,256,256,64
1182.95,160,256,64,64,192,224,32,256,128,160,256,160,32,224,256,256,128,192,192,32,96,32,32,256,96,256,160,64,256,160,160
1159.84,224,160,128,64,192,128,256,224,96,128,32,256,128,192,32,64,32,256,256,32,160,160,128,160,32,64,128,128,256,160,128
1172.14,96,64,224,160,256,224,64,128,128,192,256,160,256,96,96,32,224,224,96,96,128,64,64,192,256,224,224,64,128,128,32
